pl_name,hostname,pl_bmasse,pl_rade,pl_orbper,discoverymethod,disc_year,st_teff,st_rad
Kepler-362 b,Kepler-362,0.615,0.88,10.327186,Transit,2014,5788.0,0.722
TOI-2295 b,TOI-2295,278.09985612,16.47720163,30.033302,Transit,2024,5730.0,1.459
HD 99283 b,HD 99283,308.29355479,13.8,310.4,Radial Velocity,2021,4886.0,11.21
HD 39194 b,HD 39194,4.62,1.99,5.63692,Radial Velocity,2021,5205.0,0.783742
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,111.0,12.9,,Microlensing,2019,,
TIC 24750448 b,TIC 24750448,6.51,2.43722231,3.59159193029,Transit,2026,4545.43,0.713599
Kepler-656 c,Kepler-656,2.57,1.41,5.25449393,Transit,2023,5550.0,0.954
TOI-1295 b,TOI-1295,451.31633794,15.69257298,3.1968838,Transit,2024,6280.0,1.7
IRAS 04125+2902 b,IRAS 04125+2902,80.8,10.73820351,8.834978,Transit,2024,4080.0,1.45
NGTS-15 b,NGTS-15,238.68913366,12.32987877,3.27623,Transit,2021,5600.0,0.954
HD 62509 b,HD 62509,731.0,13.3,589.64,Radial Velocity,2006,4892.63,8.9
HD 81817 b,HD 81817,7668.5638041,12.0,1021.20159,Radial Velocity,2020,4140.0,83.8
Kepler-1941 b,Kepler-1941,7.51,2.64976949,31.33510017,Transit,2021,6404.0,1.142
Kepler-1691 b,Kepler-1691,4.02,1.83470985,3.8482,Transit,2020,6000.0,1.13152
TOI-2184 b,TOI-2184,206.58846455,11.39953337,6.90683,Transit,2022,5966.0,2.9
K2-254 b,K2-254,3.29,1.63,4.09639,Transit,2018,4629.0,0.67
OGLE-2016-BLG-1598L b,OGLE-2016-BLG-1598L,120.77479466,13.6,,Microlensing,2024,,
Kepler-180 c,Kepler-180,9.32,3.01,41.885775,Transit,2014,5731.0,1.063
Kepler-1316 b,Kepler-1316,12.3,3.54,87.9732136,Transit,2016,5884.0,1.12
OGLE-2018-BLG-1212L b,OGLE-2018-BLG-1212L,63.5656814,9.32,,Microlensing,2022,,
Kepler-1542 b,Kepler-1542,0.363,0.76,3.95116882,Transit,2016,5564.0,0.99
Kepler-1311 d,Kepler-1311,67.5,9.65837605,197.5110016,Transit,2021,5616.0,1.674
Kepler-1866 b,Kepler-1866,4.99,2.08215108,11.66009998,Transit,2021,5791.0,1.083
K2-165 d,K2-165,7.5,2.64809498,14.101361,Transit,2018,5185.0,0.803827
TOI-2018 b,TOI-2018,9.2,2.268,7.435583,Transit,2023,4174.0,0.62
HD 155918 b,HD 155918,7.62788177,2.67,1.87567,Radial Velocity,2022,5771.84,1.01906
DMPP-2 d,DMPP-2,91.79,11.6,16.491,Radial Velocity,2026,6500.0,1.78
Kepler-300 c,Kepler-300,5.69,2.25,40.714955,Transit,2014,5986.0,0.9
Kepler-1392 b,Kepler-1392,4.5,1.96,15.1410397,Transit,2016,5479.0,0.85
TOI-669 b,TOI-669,10.0,2.58606487,3.945152,Transit,2023,5597.0,0.9882
Kepler-347 b,Kepler-347,4.54,1.97,12.79836,Transit,2014,6088.0,1.005
WASP-184 b,WASP-184,181.1631,14.90797,5.1817,Transit,2019,6000.0,1.65
TOI-4559 b,TOI-4559,2.59,1.415,3.965991,Transit,2024,3558.0,0.374
OGLE-2019-BLG-0304L b,OGLE-2019-BLG-0304L,162.09248757,14.2,,Microlensing,2021,,
WASP-25 b,WASP-25,179.25522155,13.80946422,3.7648337,Transit,2010,5697.0,0.884
Kepler-105 c,Kepler-105,5.6,1.44,7.12592,Transit,2014,5933.0,1.026
TOI-199 b,TOI-199,54.03082919,9.07927437,104.854,Transit,2023,5255.0,0.82
HD 34445 d,HD 34445,30.7,6.07,117.87,Radial Velocity,2017,5836.0,1.38
TOI-700 c,TOI-700,7.27,2.6,16.051137,Transit,2020,3459.0,0.421
TOI-6954 b,TOI-6954,12.8,3.63524486,4.02074127419,Transit,2026,5170.87,0.947112
LHS 1903 e,LHS 1903,5.79,1.732,29.31773,Transit,2026,3664.0,0.539
OGLE-2017-BLG-1275L b,OGLE-2017-BLG-1275L,1875.1876013,12.8,,Microlensing,2024,,
Kepler-504 b,Kepler-504,3.15,1.59,9.549275422,Transit,2016,3519.0,0.33
HD 199509 b,HD 199509,43.22466335,7.43,99.62167,Radial Velocity,2022,5796.02,0.92
Kepler-256 d,Kepler-256,6.71,2.48,5.839172,Transit,2014,5551.0,1.301
Kepler-214 c,Kepler-214,5.18,2.13,28.7798,Transit,2014,6169.0,1.352
Kepler-197 d,Kepler-197,1.98,1.22,15.677563,Transit,2014,6004.0,1.12
HIP 5158 b,HIP 5158,451.0,13.6,345.72,Radial Velocity,2009,4962.0,0.75
HD 33142 b,HD 33142,400.46379282,13.7,330.0,Radial Velocity,2011,5025.4,4.17
TOI-2421 b,TOI-2421,105.83685953,10.36830715,4.3474032,Transit,2022,5607.0,1.75
Kepler-323 c,Kepler-323,6.8,1.57,3.5538229,Transit,2014,6004.0,1.12
TOI-7510 b,TOI-7510,18.1,7.31,11.530869,Transit,2025,5720.0,1.035
HATS-17 b,HATS-17,425.25654,8.709393,16.254611,Transit,2016,5846.0,1.091
K2-90 c,K2-90,2.24,1.3,2.900706,Transit,2016,4421.98,0.634754
TIC 260969020 b,TIC 260969020,5.59,2.22686612,8.48584501953,Transit,2026,4572.94,0.68988
Kepler-867 b,Kepler-867,19.4,4.64,150.242127,Transit,2016,5541.0,0.91
Kepler-315 c,Kepler-315,16.1,4.15,265.469335,Transit,2014,5796.0,1.037
HD 77946 b,HD 77946,10.9,2.89646124,6.527363,Transit,2024,6007.0,1.3174
LHS 1478 b,LHS 1478,2.33,1.242,1.9495378,Transit,2021,3381.0,0.246
Kepler-768 b,Kepler-768,3.86,1.79,11.3910025,Transit,2016,5108.0,0.78
TOI-2147 b,TOI-2147,116.0,10.5,26.20518,Transit,2026,5983.0,1.39
K2-251 b,K2-251,6.12,2.35,9.30075,Transit,2018,3717.0,0.49
KELT-6 c,KELT-6,1179.1493,13.0,1276.0,Radial Velocity,2015,6272.0,1.529
TOI-5803 b,TOI-5803,10.7,3.2732,5.38305,Transit,2023,5134.0,0.7625
Kepler-626 b,Kepler-626,5.86,2.29,14.48585199,Transit,2016,5813.0,1.05
Kepler-94 b,Kepler-94,10.84,3.51,2.50806,Transit,2014,4781.0,0.76
MOA-2007-BLG-192L b,MOA-2007-BLG-192L,12.49,3.58,,Microlensing,2008,,
Kepler-47 d,Kepler-47,19.02,7.04,187.366,Transit,2019,5636.0,0.936
Kepler-325 d,Kepler-325,8.2,2.79,38.715185,Transit,2014,5752.0,1.003
Kepler-298 b,Kepler-298,4.5,1.96,10.475464,Transit,2014,4465.0,0.582
TOI-2136 b,TOI-2136,6.37,2.19,7.851928,Transit,2022,3342.0,0.34
TIC 279401253 c,TIC 279401253,2548.98382414,12.6,155.3,Transit,2023,5951.0,1.06
HD 11506 d,HD 11506,4068.2036096,12.3,26500.0,Radial Velocity,2022,6123.0,1.24
Kepler-282 c,Kepler-282,1.87,1.2,13.638723,Transit,2014,5602.0,0.904
Kepler-811 b,Kepler-811,7.75,2.7,23.58447697,Transit,2016,5747.0,1.24
Kepler-1493 b,Kepler-1493,2.57,1.41,15.0217983,Transit,2016,5863.0,1.29
HAT-P-6 b,HAT-P-6,419.5356,16.58932,3.85298,Transit,2007,6570.0,1.62
Kepler-1118 b,Kepler-1118,7.95,2.74,38.6715075,Transit,2016,5688.0,0.97
TRAPPIST-1 g,TRAPPIST-1,1.321,1.129,12.352446,Transit,2017,2566.0,0.1192
WASP-185 b,WASP-185,311.4734,14.01125,9.38755,Transit,2019,5900.0,1.5
Kepler-982 b,Kepler-982,5.69,2.25,15.7738221,Transit,2016,6139.0,1.29
TOI-4336 A c,TOI-4336 A,1.55,1.251,7.587266,Transit,2026,3307.0,0.326
TOI-1752 c,TOI-1752,5.86,2.29,32.71443,Transit,2026,3762.0,0.53
K2-247 c,K2-247,5.43,2.19,6.49424,Transit,2018,4667.0,0.69
Kepler-1841 b,Kepler-1841,2.82,1.48912557,25.88599968,Transit,2021,5190.0,0.899
TOI-5261 b,TOI-5261,3651.84839643,11.60129502,4.1509768,Transit,2025,5790.0,1.021
K2-322 b,K2-322,4.35,1.92,8.205,Transit,2020,4141.0,0.602
Kepler-1917 b,Kepler-1917,4.23,1.88971288,12.90240002,Transit,2021,5530.0,0.788
K2-293 b,K2-293,6.57,2.45,13.1225,Transit,2019,5532.0,0.947
HD 141004 b,HD 141004,13.63483866,3.77,15.5083,Radial Velocity,2021,5885.38,1.389372
HATS-44 b,HATS-44,177.9848,11.960003,2.7439004,Transit,2018,5080.0,0.847
Kepler-168 c,Kepler-168,7.7,2.69,13.193242,Transit,2014,6282.0,1.107
TOI-1450 A c,TOI-1450 A,1.527,1.13,5.0688,Transit,2024,3437.0,0.483
Kepler-701 b,Kepler-701,8.45,2.84,10.35533177,Transit,2016,5343.0,0.84
Kepler-1515 b,Kepler-1515,66.2,9.55,214.3114164,Transit,2016,6511.0,1.41
TOI-5616 b,TOI-5616,624.0,10.78,2.002849,Transit,2024,3996.0,0.646
Kepler-1723 b,Kepler-1723,8.65,2.88046569,39.75289917,Transit,2021,6072.0,1.01
Kepler-990 c,Kepler-990,2.96,1.53,0.538354308,Transit,2016,5948.0,1.08
KMT-2021-BLG-1105L b,KMT-2021-BLG-1105L,413.1769291,13.6,,Microlensing,2023,,
TOI-4504 c,TOI-4504,1197.32317485,11.09689089,82.97213,Transit,2024,5315.0,0.92
Kepler-386 c,Kepler-386,3.12,1.58,25.193458,Transit,2014,5178.0,0.767
omi UMa b,omi UMa,1160.39151396,13.0,1569.81,Radial Velocity,2012,5075.0,13.84
KMT-2017-BLG-1146L b,KMT-2017-BLG-1146L,230.0,14.0,,Microlensing,2019,,
Kepler-1993 b,Kepler-1993,16.1,4.15,26.6565737,Transit,2023,5159.0,3.062
Kepler-795 b,Kepler-795,3.46,1.68,29.6193421,Transit,2016,5631.0,0.96
Kepler-207 b,Kepler-207,3.09,1.57,1.611865,Transit,2014,5920.0,1.588
Kepler-163 b,Kepler-163,1.16,1.05,7.810937,Transit,2014,5776.0,0.917
HD 149026 b,HD 149026,120.7754,8.29466,2.87589,Radial Velocity,2005,6179.0,1.41
GJ 9689 b,GJ 9689,9.65,3.07,18.27,Radial Velocity,2020,3836.0,0.57
GJ 179 b,GJ 179,301.93698665,13.8,2288.0,Radial Velocity,2009,3370.0,0.38
Kepler-1987 c,Kepler-1987,2.33,1.33,3.64830183,Transit,2023,4769.0,0.714
HATS-42 b,HATS-42,597.5204,15.6926,2.292102,Transit,2018,6060.0,1.48
Kepler-169 d,Kepler-169,2.1,1.25,8.348125,Transit,2014,4997.0,0.763
EPIC 201497682 b,EPIC 201497682,0.26,0.692,2.13174,Transit,2019,4991.0,0.554
Kepler-875 b,Kepler-875,8.75,2.9,27.5073799,Transit,2016,5958.0,1.11
Kepler-653 c,Kepler-653,0.399,0.78,0.900376476,Transit,2016,5665.0,1.19
Kepler-191 d,Kepler-191,5.82,2.28,5.945041017,Transit,2016,5215.0,0.8
Kepler-400 b,Kepler-400,3.36,1.65,9.024389,Transit,2014,5886.0,1.145
EPIC 212297394 c,EPIC 212297394,5.77,2.27,5.213965,Transit,2021,5171.0,0.8
K2-59 c,K2-59,5.9,2.3,11.2954,Transit,2016,5055.0,0.731
Kepler-1881 b,Kepler-1881,9.17,2.98104391,159.3939972,Transit,2021,5135.0,0.874
TOI-329 b,TOI-329,40.4,4.94057819,5.70439,Transit,2024,5614.0,1.5326
Kepler-308 c,Kepler-308,5.31,2.16,15.38231,Transit,2014,5895.0,0.941
TOI-5788 b,TOI-5788,3.72,1.528,6.340758,Transit,2026,5615.0,0.87
TrES-4 b,TrES-4,247.9074,18.04649,3.55395,Transit,2007,6200.0,1.66
TOI-1753 b,TOI-1753,16.6,2.47852533,5.3846104,Transit,2024,5621.0,0.9715
BD-08 2823 c,BD-08 2823,104.0,12.5,237.6,Radial Velocity,2009,4746.0,0.71
BD-14 3065 b,BD-14 3065 A,3932.0,21.59,4.2889731,Transit,2024,6935.0,2.35
HD 154857 c,HD 154857,819.97,13.2,3452.0,Radial Velocity,2014,5605.0,1.76
HD 152079 b,HD 152079,845.74563,13.2,2918.92,Radial Velocity,2009,5907.0,1.128
TOI-833 b,TOI-833,2.15,1.27,1.0418777,Transit,2022,3920.0,0.6
Kepler-348 c,Kepler-348,2.33,1.33,17.265427,Transit,2014,6177.0,1.359
Kepler-592 b,Kepler-592,6.3,2.39,2.820192408,Transit,2016,5913.0,1.04
Kepler-139 f,Kepler-139,36.0,6.67,355.0,Transit Timing Variations,2025,5630.0,1.045
TOI-904 c,TOI-904,5.34,2.167,83.9997,Transit,2023,3770.2,0.527
Kepler-1542 d,Kepler-1542,0.59,0.87,5.99273738,Transit,2016,5564.0,0.99
Kepler-222 b,Kepler-222,10.1,3.16,3.936981,Transit,2014,5433.0,0.869
Qatar-10 b,Qatar-10,233.92288,17.295487,1.645321,Transit,2019,6124.0,1.254
Kepler-1213 b,Kepler-1213,1.81,1.19,5.34982412,Transit,2016,6050.0,1.21
